Company,Job Title,Job Link,Location,Posting Date,Days Since Posted
Alation,,https://www.alation.com/careers/,,,
Alteryx,,https://alteryx.wd108.myworkdayjobs.com/en-US/AlteryxCareers,,,
Atlan,,https://atlan.com/?ref=/careers/,,,
Anomalo,,https://www.greenhouse.com,,,
Boomi,,https://boomi.com/company/careers/,,,
Cloudera,,https://www.cloudera.com/careers.html,,,
Datadog,,https://careers.datadoghq.com/,,,
Exasol,,https://careers.exasol.com/,,,
GoldenSource,,https://www.thegoldensource.com/careers/,,,
MariaDB,,https://mariadb.com/about-us/careers/,,,
Matillion,,https://www.matillion.com/careers/?dev,,,
MongoDB,,https://www.mongodb.com/company/careers,,,
Monte Carlo,https://jobs.ashbyhq.com/montecarlodata,https://jobs.ashbyhq.com/montecarlodata,,,
Oracle,,https://careers.oracle.com/en/sites/jobsearch/,,,
Precisely (US),,https://www.precisely.com/careers-and-culture/,,,
SnapLogic,,https://www.snaplogic.com/fr/company/careers/job-listings,,,
Syniti,,https://careers.syniti.com/jobs#content,,,
Syniti,,https://careers.syniti.com/,,,
Teradata,,https://careers.teradata.com/close,,,
Yellowbrick,,https://yellowbrick.com/careers/,,,
Vertica,,https://careers.opentext.com/us/en/home,,,
