Company,Job Title,Job Link,Location,Posting Date,Days Since Posted,Seniority,Description,First_Seen,Last_Seen
Anomalo,Data Solutions Architect,https://jobs.ashbyhq.com/anomalo/a8ee748c-f579-4b83-8ecf-f02446d11288,Remote (EMEA),,,Unknown,"Our Mission: Make Data Trustworthy at Scale Anomalo is the AI-powered data quality platform trusted by Fortune 500 companies. Our platform combines unsupervised machine learning with automated root-cause analysis to detect anomalies without manual rule maintenance. While legacy tools force teams to anticipate every failure and maintain brittle threshold libraries, Anomalo learns what ""normal"" looks like and automatically flags deviations. When issues surface, our RCA pinpoints the cause in minutes, not days. We work with Block, Discover, Atlassian, and Notion. We're backed by $82M from SignalFire, Norwest, Databricks Ventures, Snowflake Ventures, Foundation Capital, Two Sigma Ventures, and First Round Capital. As a Data Solutions Architect in the EMEA region at Anomalo, you'll be instrumental in expanding our global customer solutions presence. You'll engage directly with enterprise customers across diverse industries, providing expert guidance on data quality monitoring and helping shape our offerings to meet regional needs. You'll also serve as a key point of contact for customer calls, ensuring their success while working closely with our global teams to drive innovation and excellence. What you’ll do as a Data Solutions Architect at Anomalo: Become an expert in data quality monitoring, and advise our industry-leading customers on the best way to monitor their complex datasets in cloud data warehouses like BigQuery, Snowflake, Databricks and Redshift via Anomalo Work closely with enterprise customers across multiple verticals to help solve their most complex data monitoring challenges Advise customers on how best to evolve the structure of their datasets to ensure they can effectively monitor their data for changes they care about Help customers understand and triage alerts that they are not familiar with, and advise configuration changes when necessary Develop working relationships with technical peers in data engineering, data science, and analytics at our customers Be a resource for our sales and customer success teams when they need technical questions answered about how best to apply Anomalo to a customer need Identify areas of opportunity for improving our product, algorithms, and processes and convey those to partners in product, engineering, and support This role requires regular overlap with our U.S.-based team. As a result, your typical working hours will include later afternoons and evenings (local time) to support cross-functional collaboration What you’ll bring to the team: 8+ years of data analytics experience Very proficient in SQL and data analysis Experience working with one or more cloud data warehouse platforms (Snowflake, Bigquery, Redshift, etc.) or an equivalent MPP data warehouse Able to understand and advise on data quality problems across a variety of industries and use cases Track record of communicating complex analytical insights or findings to internal or external customers Bachelor’s degree or higher in Mathematics, Statistics, Computer Science or a related discipline or equivalent practical experience Ideal candidates will also have: Experience with Python and/or R Experience working with time series and unsupervised machine learning algorithms Experience with data transformation (DBT) and orchestration (Airflow) platforms Location and Travel: Remote - Based in the United Kingdom or Ireland Quarterly travel to company offsites to spend time with the team, and occasional travel to visit customers is required Perks of Working at Anomalo 🎯 Make an Impact: Join a growing company that delights our customers. Our modern UI and rich visualizations help our customers solve unknowns and anticipate data issues before they happen. 🔍 A values-driven, open and transparent culture that supports autonomy and growth. 🏡 Fully Remote: We were fully remote before it was a thing, and we believe your best work happens on your schedule. We offer a generous $1,000 stipend to ensure your remote office is comfortable.",2026-07-17,2026-07-31
Atlan,Field Security Engineer,https://jobs.ashbyhq.com/atlan/b2b880ed-63cd-4f56-8313-87f143fa9807,India,,,Unknown,"Who We Are Most companies are racing to deploy AI, but very few have the foundation to make it work reliably. Atlan is building that missing layer: the context layer for enterprise AI. We connect the business context behind data so humans and agents can operate with far more accuracy and confidence. With backing from world-class investors including GIC, Insight Partners, Meritech, Peak XV, and Salesforce Ventures , we've earned the trust of most AI-forward enterprises like General Motors, Nasdaq, Workday and Elastic . Come build the infrastructure that AI runs on. Security is a reason Atlan's customers say yes. This role is why. You'll be the technical security voice customers hear on calls and read in their reviews, the engineer who builds the systems that make those reviews faster and increasingly self-serve, and a contributor to the compliance program that keeps Atlan trustworthy at enterprise scale. As Atlan builds Context Studio and an agentic, MCP-based platform, the security conversations you lead are increasingly about AI itself: how agents behave, how context and data are governed, and what enterprise customers need to feel confident deploying AI in their stack. Roughly half your week is direct customer security work. The rest is building. What You'll Own Be the security expert enterprise customers trust. Own calls, architecture deep-dives, and security reviews with sophisticated security teams at Fortune 500 companies across financial services, healthcare, and payments. When the deal is on the line and the question is hard, you give an accurate answer or commit to one. Lead AI security conversations credibly. Customers ask about agent behavior, MCP exposure, context governance, and ISO 42001. You can hold those conversations today, not after a ramp period. Turn security reviews into an accelerator. Own what Vanta can't handle: the cases that need judgment, the reusable artifacts that close reviews faster, and the trust center content that deflects repeat questions before they reach a human. This includes keeping Atlan's public trust centre current and genuinely useful. The measure is shorter customer onboarding, not completed questionnaires. Build the automation that shrinks the manual work over time. Design and ship AI agents that close the gaps Vanta leaves, keep evidence current, and make the security review process measurably lighter every quarter. You own these systems end to end. Contribute to Atlan's compliance program across SOC 2, ISO 27001, ISO 42001, HIPAA, and GDPR: evidence collection, audit support, and continuous-compliance automation. This is a real growth path as your scope expands beyond field work, not a secondary responsibility. What Makes You a Match You've done customer-facing security work at a B2B SaaS company and can hold a credible technical conversation with an enterprise security team without losing accuracy or composure when the deal is on the line. You've built AI agents in production. Not prototypes, not prompts in a notebook. Real systems that replaced manual work in compliance, triage, evidence collection, or questionnaire automation. You understand AI and LLM security deeply enough to explain it to a customer: prompt injection, agent guardrails, MCP exposure, model and data risks, and where frameworks like ISO 42001 apply. You identify the gap, build the fix, and close the loop. You don't wait for someone else to execute on a commitment you made on a call. You're comfortable working evening IST hours to overlap with US and EU customers. This is a real part of the role, not occasional. Bonus Hands-on experience with automation platforms like n8n or Tines Working knowledge of SOC 2, ISO 27001, ISO 42001, HIPAA, or GDPR Why Atlan? Joining Atlan means being part of a global movement to help data teams do their life’s best work. Here’s what you can expect: Competitive Compensation: We benchmark at the top of the market and keep compensation simple: strong base salary, performance‑based va",2026-06-25,2026-07-31
Atlan,Security Engineer,https://jobs.ashbyhq.com/atlan/6a9441af-27c7-4519-95c2-8381536cf8b4,India,,,Unknown,"Who We Are Most companies are racing to deploy AI, but very few have the foundation to make it work reliably. Atlan is building that missing layer: the context layer for enterprise AI. We connect the business context behind data so humans and agents can operate with far more accuracy and confidence. With backing from world-class investors including GIC, Insight Partners, Meritech, Peak XV, and Salesforce Ventures , we've earned the trust of most AI-forward enterprises like General Motors, Nasdaq, Workday and Elastic . Come build the infrastructure that AI runs on. What will you do? 🤔 At Atlan, security engineers ship products. If your instinct when you see a recurring finding is to build the system that eliminates it permanently - not file another ticket - this role is for you. You'll own AppSec and Cloud Security automation across a platform used by 450+ enterprise customers in regulated industries, with AI as your primary force multiplier. AI-Powered Security Agents: Build AI agents that handle vulnerability triage, automated security reviews of PRs, and initial incident forensics at scale. Hands-on production experience is required. Application Security: Lead threat modeling, security reviews, and risk assessments across web applications, APIs, and services. Work with engineering to eliminate vulnerability classes end-to-end, writing or reviewing fixes, not just filing findings. Cloud Security Automation: Build systems that automatically detect and remediate security gaps across AWS (primary), GCP, and Azure - configuration drift, IAM misconfigurations, vulnerable dependencies, exposed secrets. You own this end-to-end, not just the detection layer. Developer Security (Shift-Left): Embed security into the developer workflow. Integrate SAST/SCA and secrets detection into CI/CD, making ""Secure by Default"" the path of least resistance for every engineer on the platform. What makes you a great match for us? 😍 4-6 years of experience in a cloud-native SaaS environment, with demonstrated depth in at least two security domains. AppSec and Cloud Security is the preferred combination. Prior experience at a product startup or high-growth company is valued. Hands-on AI development experience. You've integrated LLMs into production security workflows - triage pipelines, automated review agents, detection systems. Root-cause orientation: Identify the vulnerability class, build the guardrail, and eliminate the pattern permanently. Deep AWS expertise across IAM, VPCs, and Kubernetes - with practical knowledge of how these are attacked and defended in real environments. GCP and Azure familiarity is a plus. End-to-end ownership: You identify the gap, build the fix, and close the loop - without waiting for a separate execution team. Why Atlan? Joining Atlan means being part of a global movement to help data teams do their life’s best work. Here’s what you can expect: Competitive Compensation: We benchmark at the top of the market and keep compensation simple: strong base salary, performance‑based variable pay, and impact‑driven equity (for most roles), so your total rewards grow in step with the value you create over time. AI Native Culture: Atlan is where AI-native builders come to build the systems the future of work will run on. AI isn’t an add-on, it’s woven into how we build, think, and work every day, empowering every Atlanian to move faster and create a bigger impact. Health & Wellness : From Day‑1 health, dental, vision, and mental health to flexible health stipends, we design benefits offerings that lead in each country we're in. Flexible Time Off & Leave Policies: We trust you to own your energy: flexible time off and modern leave so you can unplug properly, support yourself and your loved ones, and come back ready to drive an impact. Accelerated Growth & Learning: Develop at an uncommon velocity through cutting-edge tech, complex implementations, and an experienced team that values mastery. Global, Remote-First, High-Trust: Work fr",2026-04-07,2026-07-31
Atlan,Senior Engineering Manager,https://jobs.ashbyhq.com/atlan/aea0a9e5-6555-4e35-9753-3a443bcf2624,India,,,Senior,"Who We Are Most companies are racing to deploy AI, but very few have the foundation to make it work reliably. Atlan is building that missing layer: the context layer for enterprise AI. We connect the business context behind data so humans and agents can operate with far more accuracy and confidence. With backing from world-class investors including GIC, Insight Partners, Meritech, Peak XV, and Salesforce Ventures , we've earned the trust of most AI-forward enterprises like General Motors, Nasdaq, Workday and Elastic . Come build the infrastructure that AI runs on. The Opportunity Atlan is building the context layer for the AI era, the control plane that makes enterprise data usable, governed, extensible, and AI-ready. We're looking for an Engineering Manager to join one of our core platform teams. This is not a coordination role. We need an engineer-first, hands-on platform leader who has built and owned foundational systems at scale, whether that's distributed platform primitives and ingestion infrastructure, or data quality systems and AI-native product surfaces that sit on top of them. What will you do? 🤔 Build the AI-ready context foundation Lead the engineering charter to design and evolve an AI-ready context store across structured, unstructured, vector, and graph systems. This platform powers apps, agents, and enterprise workflows on top of trusted data. Own core platform primitives Drive end-to-end delivery of complex platform capabilities, including: High-scale ingestion and validation frameworks Contract-driven routing, storage, and serving layers Multi-tenant isolation and noisy-neighbor resilience Search APIs with sub-second P95 response times Systems operating at 99.99% availability You’ll simplify ambiguous problems, define clear technical direction, and ensure teams ship durable, high-leverage infrastructure. Lead from the front Engage deeply in architecture and systems design. Guide distributed systems tradeoffs, review RFCs, unblock critical issues, and participate meaningfully in technical decisions. This role requires technical depth, not just coordination. Scale teams and operational excellence Build and mentor high-performing engineers. Define engineering metrics, on-call practices, SLO discipline, and incident processes. Strengthen the operational engine behind a platform serving 100K+ users and billions of assets. What makes you a great match for us? 😍 Experience building data or platform primitives at scale You’ve built or owned foundational systems such as: Data ingestion frameworks or lakehouse foundations Metadata, governance, or catalog platforms Multi-tenant SaaS infrastructure and tenant isolation mechanisms Search, storage, or distributed serving layers Data quality, validation, or contract enforcement systems We’re particularly excited about leaders who have operated in data platform environments but equally value those who have built core platforms and shared infrastructure powering enterprise SaaS systems. Platform leadership experience You’ve led and scaled engineering teams (including managing managers), ideally within platform, infrastructure, or data-heavy SaaS organizations. Strong distributed systems and reliability depth You bring credibility in distributed systems, cloud-native architectures, and operating high-availability platforms with strict SLOs. Builder mindset with high agency You thrive in ambiguity, move fast with ownership, and build foundational systems from first principles. You’re comfortable operating in evolving environments and shaping direction, not just executing on defined scope. AI-native curiosity You actively explore AI-assisted development workflows and think critically about how agentic systems will reshape developer productivity and platform design. You don’t need to be an AI/ML expert, but you should be excited to build in this shift. Systems thinker and people-first leader You connect technical decisions to product strategy and org design, while prioritizing ",2026-06-11,2026-07-31
Atlan,Senior Security Engineer,https://jobs.ashbyhq.com/atlan/254c1250-953b-4323-8d18-9fe5e41d8d7d,India,,,Senior,"Who We Are Most companies are racing to deploy AI, but very few have the foundation to make it work reliably. Atlan is building that missing layer: the context layer for enterprise AI. We connect the business context behind data so humans and agents can operate with far more accuracy and confidence. With backing from world-class investors including GIC, Insight Partners, Meritech, Peak XV, and Salesforce Ventures , we've earned the trust of most AI-forward enterprises like General Motors, Nasdaq, Workday and Elastic . Come build the infrastructure that AI runs on. What will you do? 🤔 We are looking for a Senior Security Engineer to own and drive Corporate Security at Atlan. This is a senior individual contributor role with high autonomy and high visibility. You will be the technical authority for everything that protects our people, endpoints, networks, SaaS ecosystem, and corporate data—the full surface area outside of production infrastructure. The scope is broad and the team is lean. You need to have done this before: deployed and operated the core corporate security stack, made architectural calls on tooling, and built engineering-driven solutions over manual processes. We need someone who can hit the ground running and start delivering from week one, not someone who needs technical guidance on what EDR to pick or how to architect zero trust. You will provide technical direction to the IT Operations team on security matters, partner closely with Infrastructure Security, Detection & Response, GRC, and Legal teams, and report into Security leadership. Because Atlan serves regulated enterprises, the security posture of our corporate environment directly impacts customer trust, compliance audits, and deal velocity. Corporate Security Architecture & Engineering Design, build, and operate the security controls for Atlan’s corporate environment: macOS fleet, SaaS applications, corporate identities (Okta/Google Workspace), email, endpoints, and network edge Evaluate, select, deploy, and operate the corporate security stack: EDR/XDR, MDM, ZTNA, CASB/SSPM, email security, DLP, browser security. You will own vendor selection, PoCs, deployment, tuning, and lifecycle management Define and enforce security baselines, hardening standards, and configuration policies across all corporate platforms Drive vulnerability management for corporate assets: patch orchestration, risk-based prioritization, exception tracking, and SLA enforcement Build security automation and internal tooling. We expect you to use LLMs (Claude, custom agents) to accelerate security workflows Lead security reviews of new SaaS adoptions, corporate infrastructure changes, and IT projects Define what it means to operate safely in an environment where AI agents act autonomously across corporate systems Roadmap & Cross-Team Collaboration Own the Corporate Security roadmap. Align investments to Atlan’s risk register, compliance calendar, and growth trajectory Provide technical direction and security guidance to IT Operations on endpoint provisioning, network design, SaaS lifecycle management, and access controls Partner with Detection & Response on telemetry coverage, detection engineering, and incident handling for corporate-sourced events Collaborate with Infrastructure Security and AppSec teams to ensure security standards are consistent across corporate and production environments Support compliance programs (ISO 27001, ISO 42001, SOC 2, HIPAA, GDPR) by ensuring corporate security controls satisfy audit evidence requirements Communicate security posture, risks, and investment needs to Security leadership and cross-functional stakeholders clearly and persuasively What makes you a great match for us? 😍 Must Have 5+ years of hands-on Security Engineering experience in corporate/enterprise security (endpoint, network, SaaS, identity, or a combination) Have built or significantly matured a corporate security program before: selected the tooling, defined the architecture, shi",2026-07-25,2026-07-31
Boomi,AI & Business Transformation Lead- EMEA,https://boomi.com/boomi-jobs/?gh_jid=5990423004,Germany; United Kingdom,2026-07-30,1,Unknown,"<div class=""content-intro""><div>
<div>
<p><strong><span style=""color: #072b55;"">About Boomi and What Makes Us Special</span></strong></p>
</div>
</div>
<div>
<div>
<p><span style=""color: #072b55;"">Are you ready to work at a fast-growing company where you can make a difference?&nbsp;Boomi, the data activation company for AI, powers the agentic enterprise by bringing data to life across the business. The award-winning&nbsp;Boomi Enterprise Platform is the active data foundation that delivers essential agentic infrastructure enabling organizations to drive agentic transformation and&nbsp;harness the power of AI with secure, scalable connectivity.&nbsp;&nbsp;Trusted by over 30,000 customers and supported by a network of 800+ partners, Boomi helps organisations of all sizes achieve agility, efficiency, and innovation at scale.&nbsp;At Boomi, you’ll work with world-class people and industry-leading technology. We hire trailblazers with an entrepreneurial spirit who can solve challenging problems, make a real impact, and want to be part of building something big. If this sounds like a good fit for you, check out&nbsp;<a href=""http://www.boomi.com/"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=http://www.boomi.com/&amp;source=gmail&amp;ust=1782843859988000&amp;usg=AOvVaw3Yitd6hYQcya0j0B5k0__J"">boomi.com</a>&nbsp; or visit our&nbsp;<a href=""https://boomi.com/company/careers/"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://boomi.com/company/careers/&amp;source=gmail&amp;ust=1782843859988000&amp;usg=AOvVaw2W_0H5BboonDUat_xHGW0d"">Boomi Careers</a>&nbsp;page to learn more.</span></p>
</div>
</div></div><p><strong>How You'll Make an Impact</strong></p>
<p>The AI &amp; Business Transformation Lead drives Boomi's strategic customer engagements at the executive level. This role translates Boomi's Agentic AI capabilities into business solutions and investment cases that justify significant capital allocation to present at Exec Level. Core responsibilities include advising global enterprises on AI and platform strategy, partnering with sales leadership to accelerate pipeline, and establishing best practices for data activation and AI-led transformation.</p>
<p>The role sits within Boomi's GTM Center of Excellence, which is responsible for design thinking, AI innovation, value selling methodology, and customer transformation outcomes. The successful candidate will build and maintain C-suite relationships, lead AI workshop sessions for customers, partners, and prospects, and actively differentiate Boomi across the market- with analysts, thought leaders, and key accounts.</p>
<p><strong>What You'll Do</strong></p>
<ul>
<li>Advise C-suite stakeholders on AI and platform strategy, directly aligning Boomi's data activation &amp; Agentic AI capabilities to their most critical business priorities</li>
<li>Lead commercial strategy for strategic pursuits, conducting executive-level discovery and developing insight-driven narratives that reframe investment decisions</li>
<li>Construct rigorous business cases linking Boomi's platform to measurable P&amp;L impact, including NPV, IRR, and payback period modelling</li>
<li>Partner with sales teams to drive new and expansion revenue, contributing to account planning and embedding AI GTM strategy across key accounts</li>
<li>Define and operationalise value realization frameworks in coordination with Customer Success and Professional Services to validate outcomes post-sale</li>
<li>Codify deal cycle learnings into scalable GTM best practices across sales, marketing, and product functions</li>
</ul>
<p><strong>The Experience You Bring</strong></p>
<ul>
<li>Extensive experience in management consulting (finance preferred), sales strategy, or enterprise software, cloud, or AI-focused consultative sales</li>
<li>Proven executive presence with demonstrated ability to influence senior stakeholders and navigate complex, multi-stakeholder buying processes</li>
<li>Track r",2026-04-01,2026-07-31
Cloudera,Accounts Payable Specialist,https://cloudera.wd5.myworkdayjobs.com/en-US/External_Career/job/US-California-San-Jose/Accounts-Payable-Specialist_261087-1,"US-California-San Jose, United States of America",2026-07-31,0,Unknown,"Business Area: Finance & Corp. Services Seniority Level: Entry level Job Description: At Cloudera, we empower people to transform complex data into clear and actionable insights. With as much data under management as the hyperscalers, we're the preferred data partner for the top companies in almost every industry.  Powered by the relentless innovation of the open source community, Cloudera advances digital transformation for the world’s largest enterprises. Cloudera is seeking a talented, motivated, and passionate Accounts Payable Analyst to join our dynamic Finance Team in San Jose, California. In this role, you'll be instrumental in ensuring the smooth and accurate processing of employee expense reports and supplier invoices while contributing to our financial integrity and supporting our global operations. You'll also collaborate closely with team members, providing essential backup and contributing to a collaborative and efficient environment. As an Accounts Payable Analyst you will: Receipt, verification, and processing of vendor invoices using NetSuite and Coupa Receipt, verification, and processing of employee expenses using Concur Support with payroll and compliance report for travel & expense reimbursements Vendor accounts by reconciling monthly statements and related transactions to NetSuite Support employees with Accounts Payable and Travel and Expense related questions Support customers/suppliers with AP related questions Payment Hold for individual invoices and/or full supplier accounts, where necessary Support external and internal audit work Update job knowledge by participating in educational opportunities Keep pre-agreed SLAs when supporting colleagues We’re excited about you if you have: The role is suitable for a (recent) starter with a 0-2 years relevant accounting experience Basic knowledge in accounting, monthly close, and financial reporting Language skills – English (other languages are a bonus) Strong communication, customer service, organizational skills and interpersonal skills Ability to meet deadlines, and to efficiently collaborate with various groups across the company as well as outside of the company Intermediate/Advance skills for MS Excel & other MS Office solutions Knowledge of ERP systems - NetSuite preferred The expected base salary range for this role in California is $70,000 - $87,000 The salary will vary depending on your job-related skills, experience and location What you can expect from us: Generous PTO Policy Support work life balance with Unplugged Days Flexible WFH Policy Mental & Physical Wellness programs Phone and Internet Reimbursement program Access to Continued Career Development Comprehensive Benefits and Competitive Packages Paid Volunteer Time Employee Resource Groups EEO/VEVRAA #LI-ND3 #LI-Hybrid",2026-07-31,2026-07-31
Cloudera,Applied AI Specialist,https://cloudera.wd5.myworkdayjobs.com/en-US/External_Career/job/Australia--New-South-Wales--Sydney/Applied-AI-Specialist_261164,"Australia-New South Wales-Sydney, Australia",2026-07-31,0,Unknown,"Business Area: Corp. Strategy Seniority Level: Mid-Senior level Job Description: At Cloudera, we empower people to transform complex data into clear and actionable insights. With as much data under management as the hyperscalers, we're the preferred data partner for the top companies in almost every industry.  Powered by the relentless innovation of the open source community, Cloudera advances digital transformation for the world’s largest enterprises. About the Applied AI Team The Applied AI team exists to help the world's largest enterprises move beyond AI experimentation and into production. Our mission is to identify, validate, and accelerate high-impact AI use cases that deliver measurable business outcomes across regulated and data-intensive industries. Working at the intersection of industry expertise, AI technology, and enterprise data platforms, we partner directly with customers to solve complex business challenges using machine learning, computer vision, predictive analytics, generative AI, and agentic systems, while developing the technical conviction needed to move initiatives from concept to production. The team combines Applied AI Specialists, strategic ecosystem partners such as NVIDIA, and Forward Deployed Engineers (FDEs) in a unified operating model designed to rapidly move AI initiatives from discovery to deployment. Applied AI Specialists work directly with customers to discover opportunities, validate technical feasibility, and establish technical conviction, while FDE teams build and deploy qualified solutions. Together, we help organizations operationalize AI securely, govern it responsibly, and scale it across the enterprise. About the Role As an Applied AI Specialist, your mission is to identify, validate, and establish technical conviction around high-impact private AI use cases that can be successfully deployed into production. Operating within a specialized regional pod, you will lead technical discovery, execute deep-dive AI workshops, and collaborate closely with strategic ecosystem partners such as NVIDIA. You will work directly with enterprise architects, data scientists, platform teams, and business stakeholders to evaluate AI opportunities, assess technical feasibility, and define clear implementation paths. Your focus is on separating low-conviction ideas from production-ready opportunities, ensuring that only the highest-value use cases advance into our engineering pipeline. As an Applied AI Specialist, you'll: Lead AI Discovery Workshops - Partner with strategic ecosystem providers, including NVIDIA, to design and facilitate highly technical hands-on workshops that identify, validate, and prioritize private AI opportunities. Discover and Scope High-Value Use Cases - Conduct deep technical and business discovery with enterprise customers to identify AI workloads that can deliver measurable business outcomes and are suitable for production deployment. Evaluate Enterprise AI Readiness - Assess data architecture, governance requirements, infrastructure constraints, security considerations, and data gravity challenges to determine the feasibility of Private AI deployments. Develop Regional Domain Leadership - Serve as a subject matter expert within your regional pod, building deep expertise in one or more strategic industries while helping transfer successful AI patterns across customer segments. Build Technical Assets - Develop lightweight proofs of concept, reference architectures, technical demonstrations, and solution frameworks that help customers validate feasibility before committing to full-scale implementation. Define the Engineering Blueprint - Translate qualified opportunities into clear technical requirements, data specifications, success criteria, architectural recommendations, and scoped outcomes to ensure seamless handoff to FDE teams. Capture and Scale Best Practices - Document successful use cases, architectural patterns, and implementation frameworks that can be reused across ",2026-07-31,2026-07-31
Cloudera,Applied AI Specialist,https://cloudera.wd5.myworkdayjobs.com/en-US/External_Career/job/JapanTokyo/Applied-AI-Specialist_261163-1,"Japan-Tokyo, Japan",2026-07-31,0,Unknown,"Business Area: Corp. Strategy Seniority Level: Mid-Senior level Job Description: At Cloudera, we empower people to transform complex data into clear and actionable insights. With as much data under management as the hyperscalers, we're the preferred data partner for the top companies in almost every industry.  Powered by the relentless innovation of the open source community, Cloudera advances digital transformation for the world’s largest enterprises. About the Applied AI Team The Applied AI team exists to help the world's largest enterprises move beyond AI experimentation and into production. Our mission is to identify, validate, and accelerate high-impact AI use cases that deliver measurable business outcomes across regulated and data-intensive industries. Working at the intersection of industry expertise, AI technology, and enterprise data platforms, we partner directly with customers to solve complex business challenges using machine learning, computer vision, predictive analytics, generative AI, and agentic systems, while developing the technical conviction needed to move initiatives from concept to production. The team combines Applied AI Specialists, strategic ecosystem partners such as NVIDIA, and Forward Deployed Engineers (FDEs) in a unified operating model designed to rapidly move AI initiatives from discovery to deployment. Applied AI Specialists work directly with customers to discover opportunities, validate technical feasibility, and establish technical conviction, while FDE teams build and deploy qualified solutions. Together, we help organizations operationalize AI securely, govern it responsibly, and scale it across the enterprise. About the Role As an Applied AI Specialist, your mission is to identify, validate, and establish technical conviction around high-impact private AI use cases that can be successfully deployed into production. Operating within a specialized regional pod, you will lead technical discovery, execute deep-dive AI workshops, and collaborate closely with strategic ecosystem partners such as NVIDIA. You will work directly with enterprise architects, data scientists, platform teams, and business stakeholders to evaluate AI opportunities, assess technical feasibility, and define clear implementation paths. Your focus is on separating low-conviction ideas from production-ready opportunities, ensuring that only the highest-value use cases advance into our engineering pipeline. As an Applied AI Specialist, you'll: Lead AI Discovery Workshops - Partner with strategic ecosystem providers, including NVIDIA, to design and facilitate highly technical hands-on workshops that identify, validate, and prioritize private AI opportunities. Discover and Scope High-Value Use Cases - Conduct deep technical and business discovery with enterprise customers to identify AI workloads that can deliver measurable business outcomes and are suitable for production deployment. Evaluate Enterprise AI Readiness - Assess data architecture, governance requirements, infrastructure constraints, security considerations, and data gravity challenges to determine the feasibility of Private AI deployments. Develop Regional Domain Leadership - Serve as a subject matter expert within your regional pod, building deep expertise in one or more strategic industries while helping transfer successful AI patterns across customer segments. Build Technical Assets - Develop lightweight proofs of concept, reference architectures, technical demonstrations, and solution frameworks that help customers validate feasibility before committing to full-scale implementation. Define the Engineering Blueprint - Translate qualified opportunities into clear technical requirements, data specifications, success criteria, architectural recommendations, and scoped outcomes to ensure seamless handoff to FDE teams. Capture and Scale Best Practices - Document successful use cases, architectural patterns, and implementation frameworks that can be reused across ",2026-07-31,2026-07-31
Cloudera,Applied AI Specialist,https://cloudera.wd5.myworkdayjobs.com/en-US/External_Career/job/Singapore--Singapore/Applied-AI-Specialist_261013,"Singapore-Singapore, Singapore",2026-07-29,2,Unknown,"Business Area: Corp. Strategy Seniority Level: Mid-Senior level Job Description: At Cloudera, we empower people to transform complex data into clear and actionable insights. With as much data under management as the hyperscalers, we're the preferred data partner for the top companies in almost every industry.  Powered by the relentless innovation of the open source community, Cloudera advances digital transformation for the world’s largest enterprises. About the Applied AI Team The Applied AI team exists to help the world's largest enterprises move beyond AI experimentation and into production. Our mission is to identify, validate, and accelerate high-impact AI use cases that deliver measurable business outcomes across regulated and data-intensive industries. Working at the intersection of industry expertise, AI technology, and enterprise data platforms, we partner directly with customers to solve complex business challenges using machine learning, computer vision, predictive analytics, generative AI, and agentic systems, while developing the technical conviction needed to move initiatives from concept to production. The team combines Applied AI Specialists, strategic ecosystem partners such as NVIDIA, and Forward Deployed Engineers (FDEs) in a unified operating model designed to rapidly move AI initiatives from discovery to deployment. Applied AI Specialists work directly with customers to discover opportunities, validate technical feasibility, and establish technical conviction, while FDE teams build and deploy qualified solutions. Together, we help organizations operationalize AI securely, govern it responsibly, and scale it across the enterprise. About the Role As an Applied AI Specialist, your mission is to identify, validate, and establish technical conviction around high-impact private AI use cases that can be successfully deployed into production. Operating within a specialized regional pod, you will lead technical discovery, execute deep-dive AI workshops, and collaborate closely with strategic ecosystem partners such as NVIDIA. You will work directly with enterprise architects, data scientists, platform teams, and business stakeholders to evaluate AI opportunities, assess technical feasibility, and define clear implementation paths. Your focus is on separating low-conviction ideas from production-ready opportunities, ensuring that only the highest-value use cases advance into our engineering pipeline. As an Applied AI Specialist, you will: Lead AI Discovery Workshops - Partner with strategic ecosystem providers, including NVIDIA, to design and facilitate highly technical hands-on workshops that identify, validate, and prioritize private AI opportunities. Discover and Scope High-Value Use Cases - Conduct deep technical and business discovery with enterprise customers to identify AI workloads that can deliver measurable business outcomes and are suitable for production deployment. Evaluate Enterprise AI Readiness - Assess data architecture, governance requirements, infrastructure constraints, security considerations, and data gravity challenges to determine the feasibility of Private AI deployments. Develop Regional Domain Leadership - Serve as a subject matter expert within your regional pod, building deep expertise in one or more strategic industries while helping transfer successful AI patterns across customer segments. Build Technical Assets - Develop lightweight proofs of concept, reference architectures, technical demonstrations, and solution frameworks that help customers validate feasibility before committing to full-scale implementation. Define the Engineering Blueprint - Translate qualified opportunities into clear technical requirements, data specifications, success criteria, architectural recommendations, and scoped outcomes to ensure seamless handoff to FDE teams. Capture and Scale Best Practices - Document successful use cases, architectural patterns, and implementation frameworks that can be reused acros",2026-07-29,2026-07-31
